///Russian Translations Mods (3348967878)///
Rus_Translations-name|Перевод модов на русский
South Warehouse|Южный склад
Centipede's Lair|Логово сороконожки

///Forsaken Factory (3301169303)///
Nytrok07.ForsakkenFactory-name|Покинутый завод
Nytrok07.ForsakkenFactory-description|Исследуйте загадочную фабрику, расположенную в пяти шагах от дождя.....<LINE>нет, подождите, дождь всё ещё идет....<LINE>на самом деле, совсем немного........<LINE>ЭТО СТРИЖ СТЕРВЯТНИК!!!<LINE>фабрика зовет.....<LINE>обложка выполнена anzel.
Forsaken Factory|Покинутый завод
The Overgrowth|Заросли
Core|Ядро
Factory Roof|Крыша завода
Abyss|Бездна
New|Новое

///Forsaken Station (3304867363)///
forsaken_station-name|Заброшенная станция
forsaken_station-description|Обширный регион, где все следы сходятся в одном общем месте, затерянном во времени.
Forlorn Valley|Заброшенная долина
Pristine Lake|Нетронутое озеро
Underwood|Подлесок
Summit Edge|Край вершины
Deep Lake|Глубокое озеро
Forsaken Station|Заброшенная станция
Forsaken Station (Auxiliary Storage)|Заброшенная станция (Вспомогательное хранилище)
Forsaken Station (Supply Network)|Заброшенная станция (Сеть снабжения)
Mountain Railways|Горные железные дороги

///Gilded Sanctuary (3265383340)///
jam.gildedsanctuary-name|Золочённое святилище
jam.gildedsanctuary-description|Золочённое святилище — это регион!
Gilded Sanctuary|Золочённое святилище
Tangled Steeple|Запутанный шпиль

///Global Hyper-Transit System (3377469453)///
global_hyper_transit-name|Глобальная гипертранзитная система
global_hyper_transit-description|Глобальная сеть подземных поездов, которые курсируют от итератора к итератору.
Freezing Flights|Замёрзшие рейсы
Santa Claws Pain|Боль от когтей Санты
Drenched Dwellings|Промокшие жилища
Global Hyper-Transit System|Глобальная гипертранзитная система
i herd you liek twains :3|я стадо, ты любишь твинов :3
Subzero Locomotive System|Замёрзшая локомотивная система

///Gray Urban (3393900034)///
gayurban-name|Серый город
gayurban-description|Бетонный лабиринт, улицы, затенённые заоблачными жилыми комплексами. Проект Серый город является частью проекта Sunlit Trail.
Gray Urban|Серый город

///Hanging Gardens (3022284148)///
hanging.gardens-name|Висячие сады
hanging.gardens-description|Возвышающееся оранжерейное сооружение, которое служит убежищем для многих экзотических существ.
Hanging Gardens|Висячие сады
Enduring Sanctuary|Незабвенное убежище

///Howling Rift (2987817211)///
howling_rift-name|Воющий разлом
howling_rift-description|Разрушающийся рудник, соединяющий Склепы памяти и Подземку.
Howling Rift|Воющий разлом

///Lush Mire (3014893271)///
wrayk.lushwire-name|Пышная трясина
wrayk.lushwire-description|Заросшая и влажная промышленная зона между Дренажной системой, Затенённой цитаделью и Висячими садами.
Lush Mire|Пышная трясина
Serene Grotto|Безмятежный грот

///Marshland Wastes (2989757351)///
tcan.marshlandwastes-name|Болотная пустошь
tcan.marshlandwastes-description|Короткий участок, соединяющий Свалку, Трубную базу, Дымоход и Массивы ферм.
Marshland Waste|Болотная пустошь
Industrial Ouput|Промышленный отвод
The Slums|Трущобы
Filter Residue|Осадочный фильтр
Garbage Wastes 2 Electric Boogaloo|Свалка 2 Электрическое бугало
Scav Factory|Фабрика мусорщиков
Scav Town|Город мусорщиков
Forgotten Tundra|Забытая тундра
Slush Dispenser|Слив слякоти
Frozen City|Замёрзший город
Sludge Pipeway|Илистый трубопровод

///Moonlit Acres (3068084165)///
jam.moonlitacres-name|Лунные акры
jam.moonlitacres-description|Лунные акры — это мрачный и праздничный регион, соединяющий Затенённую цитадель и Массивы ферм, где обитает новый вид ящериц.
Moonlit Acres|Лунные акры
Sunlit Sanctuary|Солнечное святилище

///Moss Fields (3147907848)///
myr.moss_fields-name|Мшистые поля
myr.moss_fields-description|Исследуйте пышные джунгли вдали от известных территорий.<LINE>Мшистые поля соединяются с Далёким берегом.
Moss Fields|Мшистые поля

///Necropolis (3393902748)///
myr.necropolis-name|Некрополис
myr.necropolis-description|Глубоко под городской застройкой находится древнее культовое сооружение, затерянное во времени.
Necropolis|Некрополис

///Neuron Forest (3037783004)///
neuronforest-name|Нейронный лес
neuronforest-description|Что скрывается за этим Безмолвным сооружением?
Neuron Forest|Нейронный лес

///Old New Horizons (2923214961)///
onh-name|Старые Новые Горизонты
onh-description|Отполированная бета-версия\\неиспользуемый контент для расширения региона «Новые горизонты».<LINE>Включает в себя 8 новых регионов и более 1200 новых экранов.<LINE><LINE>ИНСТРУКЦИИ ПО СОВМЕСТИМОСТИ MSC<LINE>В меню Ремикса поставьте Старые Новые Горизонты выше дополнения More Slugcats Expansion.
Stormy lands|Штормовые земли
Abyss|Бездна
Railway|Железная дорога
Rackdale|Рэкдейл
Central Factory|Центральная фабрика
Central Factory - Sector A|Центральная фабрика - Сектор A
Central Factory - Sector A - Reactor|Центральная фабрика - Сектор A - Реактор
Reactor Core - Void fluid convertor|Ядро реактора - Преобразователь Пустотной жидкости
Central Factory - Sector B - Water Intake System|Центральная фабрика - Сектор В - Система водозабора
Central Factory - Facade|Центральная фабрика - Фасад
Central Factory - Sector C|Центральная фабрика - Сектор С
Central Factory - Sector C - Chimney Canopy|Центральная фабрика - Сектор С - Дымоход
???|???
Scavenger Colony|Колония мусорщиков
Industrial District|Промышленный район
Industrial Port Area|Промышленная портовая зона
Hold right to exit animation|Удерживайте правую кнопку мыши, чтобы выйти из анимации
Yeah this area is scrapped lol|Да, этот район забракован
Sorry this one's still in NNH so we can't show you|К сожалению, он всё ещё находится в NNH, поэтому мы не можем показать его вам
Farlands|Дальние земли
Limestone Caves|Известняковые пещеры
Stonepit|Каменная яма
Swamplands|Болото
Swamplands (Purple)|Болото (Фиолетовое)
Sewers|Канализация
Subway lines|Линии метро
Abandoned Drainage System|Заброшенная дренажная система
Incinerator|Мусорозжигатель
Pump Station (Beta)|Насосная станция (Бета)
Pump Station (Alpha)|Насосная станция (Альфа)
Oil Station|Нефтяная станция
Living Areas|Жилые помещения
Corrupted Refinery|Повреждённый нефтеперерабатывающий завод
Refinery|Нефтеперерабатывающий завод
Refinery (Pump Station)|Нефтеперерабатывающий завод (Насосная станция)
Communication Relay|Реле связи
Info (You can swim on the surface of oil, but if you dive, you will drown)|Ты можешь плавать на поверхности нефти, но если ты нырнёшь, то утонешь
Suburbs|Пригород

///Pilgrims' Ascent (2923894366)///
pilgrims_ascent-name|Путь паломников
pilgrims_ascent-description|Исследуйте ещё один аспект всеми любимого итератора.<LINE>Путь паломников — это вертикальная область, которая соединяется с разными частями банки Пяти Галек.
Pilgrims' Ascent|Путь паломников
Five Pebbles (Blind Spot)|Пять Галек (Слепое пятно)

///Preservatory (3357751340)///
preservatory-name|Консерваторий
preservatory-description|На вершине висячих садов вас ждёт новый путь, полный тайн и непредвиденных опасностей.
Preservatory|Консерваторий
Forgone Cycles|Забытые циклы

///Probationary District 4B (3314072844)///
District4B-name|Испытательный район 4Б
District4B-description|Вы когда-нибудь хотели легко перейти из любого региона vanilla/DP в любой другой регион vanilla/DP?<LINE>Что ж, по очень низкой цене в 5 Карму вы можете это сделать! (Для некоторых регионов может потребоваться дополнительный кредит).<LINE>Это чудо техники может доставить вас куда угодно! (За исключением Рубикона, ***** этого места), в любое время! (Могут применяться ограничения по циклу).<LINE>Поддерживает множество модовых регионов, а также регионы, зависящие от времени (DP)!<LINE>Совместимые регионы будут выделены в меню ремикса как "мягкие зависимости".
Probationary District 4B|Испытательный район 4Б

///Purification Conduits (3156584472)///
mojosoup.sloptown-name|Очистительные каналы
mojosoup.sloptown-description|Создает зону повышенной влажности, соединяющую Массивы ферм и Дренажную систему.
Purification Conduits|Очистительные каналы
SLOPTOWN|СЛОПТАУН
Sterile Waterworks|Стерильные гидросооружения

///Rain World Deluge (3413218083)///
amidstthedeluge-name|Rain World - Потоп
amidstthedeluge-description|За Пределами, в плоской и беспощадной Степи, перед теми, кто достаточно силён, чтобы пережить надвигающийся Потоп, открылся новый горизонт...<LINE>Более подробную информацию, список авторов и полезные примечания можно найти в файле README в файлах мода.
Consecrated Steppe|Освящённая степь
Resting Grounds|Место отдыха
Forlorn Glade|Заброшенная поляна

///Sacred Garden (3081464445)///
tcan.SacredGarden-name|Священный сад
tcan.SacredGarden-description|Заброшенная ферма, соединяющаяся с Окраинами и Затенённой цитаделью.
Sacred Garden|Священный сад
Winter Wonderland|Зимняя страна чудес
Chilled Hydroponics|Стужённые гидропоники

///Scorched District (2987764922)///
scorched_district-name|Выжженный район
scorched_district-description|Исследуйте остатки древнего города высоко над облаками, разрушенного сильными пыльными бурями.<LINE>Соединяется с Корпусом, Пятью Гальками, Мегаполисом, Мачтой и Путём паломников.
Scorched District|Выжженный район
The Interface|Интерфейс
Distillation Column|Дистилляционная колонна
Skyline Railway|Небесная магистраль
Lost Campfire|Утерянный костёр

///Scrapped Peaks (3342976438)///
scrappedpeak-name|Сломленные пики
scrappedpeak-description|Портированный регион со старой версии.
Scrapped Peaks|Сломленные пики
Five Pebbles (Waste Disposal Compound)|Пять Галек (Комплекс утилизации отходов)

///Secluded Pass (3338330562)///
secludedpass-name|Уединённый проход
secludedpass-description|На самом дальнем краю территории комплекса, за заполненными кораллами гротами и потрепанными штормами береговыми линиями, лежат забытые руины, окутанные туманом.
Secluded Pass|Уединённый проход
Eastern Communications Tower|Восточная вышка связи
Retaining Wall|Подпорная стена
Forgotten Reach|Забытый предел
Derelict Spire|Заброшенный шпиль
Perilous Ascent|Опасный подъём

///Shrouded Assembly (3316476691)///
shrouded_assembly-name|Скрытая сборка
shrouded_assembly-description|Набор регионов, окутанных тайной, в том числе Туманное ущелье и Паровая конструкция.<LINE>Предлагается множество новых существ, механик и предметов.<LINE>Предполагается, что вход будет осуществляться через Массивы ферм.
Lunar Byway|Лунная Тропа
Steaming Edifice|Паровая конструкция
Cold Dredge|Охладелая драга
Fog Gulch|Туманное ущелье
Hadal Depths|Бездонные глубины
///Большая жемчужина
///Галька
Oh. Interesting. This is a standard issue confluence pearl,<LINE>many times larger than the standard fare, printed from a similarly colossal strand manipulator.|Как интересно! Это жемчужина, произведённая по стандартной технологии, но она гораздо крупнее обычных.<LINE>Она была напечатана на таком же огромном нитяном манипуляторе.
The pearl itself contains a barely living liquid center,<LINE>rendering the data easily overwritten by any skilled technician.|Сама жемчужина состоит из почти живой жидкости, что делает её чрезвычайно восприимчивой к перезаписи данных,<LINE>которую может выполнить любой квалифицированный специалист.
The data on this traces its ownership back to a massive cargo sail,<LINE>with a departure date scheduled soon after our benefactors mass ascension. How peculiar.|Информация на ней свидетельствует о том, что она была частью большого грузового корабля.<LINE>Дата отправления была назначена вскоре после массового вознесения наших создателей, что весьма удивительно.
It’s highly likely whichever rebellious citizen commandeered this ship belonged to one of many groups of dissident monks.|Вероятно, мятежник, захвативший этот корабль, принадлежал к одной из многочисленных групп монахов-диссидентов.
Given the ships proximity to a particularly weak spot in the firmament,<LINE>they could have been a pure spindle fanatic, one of few remaining after the monastic purges carried out during the void fluid revolution.|Учитывая расположение кораблей в особенно уязвимом месте на небосводе, можно предположить,<LINE>что они являются приверженцами философии шпинделя — одними из немногих,<LINE>кто выжил после чисток среди монахов, произошедших во время революции пустотной жидкости.
Focused on a physical and spiritual un-birth, this reclusive order felt their fate lie in the stars rather than beneath them,<LINE>and this particular believer may have escaped in order to decipher the nature of this ancient belief, unheeded by everyday needs.|Этот орден отшельников, погружённый в физическое и духовное небытиё, ощущал, что их судьба находится среди звёзд, а не на земле.<LINE>Возможно, именно поэтому этот верующий покинул свои родные края, стремясь постичь суть древней веры, не затуманенной повседневными заботами.
As for where it departed from? The tracking data suggests it came from one of my neighboring cans-<LINE>not that I care enough to discover its exact origin.|Откуда он появился? Согласно данным отслеживания, его взяли из одной из соседних банок.<LINE>Хотя меня и не очень волнует его точное происхождение, мне всё же интересно.
Although it hardly aligns with my present ambitions, I thank you for this strange insight.|Хотя это и не совсем соответствует моим нынешним целям, я хочу выразить свою благодарность за это неожиданное открытие.
///Луна
This seems to be a larger variant of the standard data pearls you may have seen around,<LINE>meant for more direct interfacing.|Вероятно, это более крупный вариант стандартных пакетов данных, с которыми ты, возможно, знаком.<LINE>Он предназначен для более удобного взаимодействия.
The data stored on this shows a trade route traversing the celestial underlayer,<LINE>our creators ever so wary of any slips in the firmament.|На этом носителе хранятся данные о торговом маршруте, который проходит через нижний слой неба.<LINE>Наши создатели всегда внимательно следят за любыми изменениями в небесной сфере.
I never payed them any mind, however.<LINE>My kind concerned themselves with matters below, rather than above.|Однако я никогда не обращала на них внимания.<LINE>Таких, как я, больше интересовали дела внизу, чем наверху.
Besides that, this includes the departure and docking log for the ship.|Кроме того, сюда также входит журнал отправления и стыковки судна.
Strangely, it records docking at a refueling tower when no ships should have been active,<LINE>after the final days of my creators ascent.|Удивительно, но на этом снимке запечатлена стыковка с заправочной вышкой в то время,<LINE>когда ни один корабль не должен был находиться в активном состоянии — после последних дней восхождения моих создателей.
Whoever departed in this vessel must have felt their fate lied in the stars,<LINE>rather than beneath the earth.|Тот, кто отправился в полёт на этом корабле, должно быть, чувствовал,<LINE>что его судьба лежит где-то за пределами нашей планеты, а не под землёй.
Select few superstitious old monks used to believe the same,<LINE>despite their shunning by wider society.|Несколько пожилых монахов, отличавшихся суеверностью, разделяли эту веру, несмотря на то, что общество их сторонилось.
Even still, some still clung to their belief,<LINE>evident with the existence of this pearl.|Тем не менее, некоторые люди продолжали верить, и это подтверждается существованием этой жемчужины.
So much effort, endless ruminating,<LINE>our gift swatted away without care.|Столько усилий, бесконечных размышлений — и наш дар был просто проигнорирован.
It infuriates me.|Это приводит меня в бешенство.
Like a selfish child, they defied what would have benefited them,<LINE>leaving us to clean up the mess.|Как эгоистичные дети, они не стали принимать решения, которые могли бы принести им пользу,<LINE>и теперь нам приходится разбираться с последствиями.
Not that I could, anyways, in the state that I am in.|В любом случае, я бы не смогла этого сделать в том состоянии, в котором нахожусь сейчас.
But I apologize, I shouldn’t have gotten so worked up.<LINE>It’s ultimately insignificant.|Прошу прощения, мне не стоило так переживать.<LINE>В конце концов, это не так важно.

///Side House (3103123670)///
SideHouse-name|Дом на стороне
SideHouse-description|Это порт 1:1 региона Дом на стороне, соединяющий Побережье, Пять Галек и Глубины, который является первым выпущенным модом регионом, состоящим в основном из неиспользуемых комнат.<LINE>Разница между версией 1.5 и этой в том, что в этой версии есть неиспользуемые комнаты, исправлены некоторые неработающие спавны, удален софтлок и теперь он поддерживает экспедицию.<LINE>Если вы играете за Ручья/Святого, вы не сможете использовать ворота SS, но в остальном вы можете использовать слизнекотов из Downpour.<LINE>Он может служить альтернативным, менее утомительным способом доставки нейронов для Луны. Регион представляет собой объединение многих файлов карт из данных игры, которые остались неиспользованными в финальной версии игры.<LINE>В этом регионе также есть две цветные жемчужины, которые можно найти и принести Луне. Эти жемчужины уникальны для этого региона и имеют свой собственный текст истории. Одна из них (фиолетовая) имеет среднюю сложность получения, как и большинство цветных жемчужин. Однако другая (голубая) предназначена для игроков, ищущих вызов.<LINE>Мод создан AndrewFM, а музыка для угроз написана Mikronaut.
Side House|Дом на стороне
Leviathan Cave|Пещера Левиафана
Underhang|Подвес

///Sizzling Sewers (3058851317)///
overgrownfacility-name|Шипящия канализация
overgrownfacility-description|Шипящия канализация — это небольшая область, похожая на лабиринт, соединяющая Трубную базу и Свалку.
Sizzling Sewers|Шипящия канализация
Caustic Caverns|Едкие пещеры

///Sky Tower (3159705472)///
Sky_tower-name|Небесная башня
Sky_tower-description|Высокая башня, соединённая со Стеной и Промышленным комплексом, с тремя различными помещениями и более чем 50 комнатами.
Sky Tower|Небесная башня
Green Bridge|Зелёный мост
The top|Вершина

///Stormy Coast (3042385413)///
stormy_coast-name|Бушующий берег
stormy_coast-description|Портовый регион на южной окраине Побережья с более чем 200 экранами.
Stormy Coast|Бушующий берег
Sunlit Port|Солнечный порт
Desolate Port|Опустелый порт
Shrouded Coast|Окутанный берег

///Sunlit Power Plant (3289086902)///
sunpwplnt-name|Освещённая электростанция
sunpwplnt-description|Исследуйте Освещённую электростанцию
Sunlit Power Plant|Освещённая электростанция
Overgrown Transfer System|Заросшая транспортная система

///Tainted Overpass (3359771227)///
TaintedOverpass-name|Испорченный путепровод
TaintedOverpass-description|В основном 1:1 порт Испорченнно путепровода, без пользовательской ящерицы, потому что это создание из lizard customizer creature. Испорченный путепровод — это темный и разлагающийся регион, который соединяет Затенённую цитадель, Дымоход и Пять Галек. В нём обитает новая ящерица.
Tainted Overpass|Испорченный путепровод
Abandoned Sanctuary|Заброшенное cвятилище
The Leg (Recording Medium)|Опора (Средство записи)

///The Grinder (3254167010)///
grinder-name|Дробитель
grinder-description|В Дробителе вам не рады. От подпорной стены поднимайтесь вверх, пока не достигнете вершины. Но вы уверены, что хотите войти?<LINE>Огромная благодарность Lángos, renistakingten и Timofey за помощь в работе над артом, музыкой и кодированием.<LINE>Загляните в вики!
The grinder|Дробитель
Kern|Ядро
Crucible|Тигель
Power rail|Силовая шина
room where stuff happens|комната где всё происходит

///The Mast (3034151966)///
themast-name|Мачта
themast-description|Новый регион в виде большого передающего шпиля в западной части мира.
The Mast|Мачта
Primary Transmission Node|Главный узел передачи
Marsh Flats|Болотные равнины
Scavenger Den|Логово мусорщиков
dont climb to the top of the region please dont do it for your own good i swear if you go up there you will regret it immensely for the rest of your life|не поднимайся на вершину региона пожалуйста не делай этого ради собственного блага клянусь если ты поднимешься туда то будешь безмерно сожалеть об этом всю свою оставшуюся жизнь
uh oh|ух ох
Yeek Flats|Равнины ик
Yeek Den|Логово ик
Ashen Monolith|Пепельный монолит

///The Radiosphere (3162697023)///
radiosphere-name|Радиосфера
radiosphere-description|Это мой первый регион, который я решил сделать. Отправляйтесь в холодную и пустую пустошь радиосферы. Будьте уверены, что не умрете от голода!<LINE>Благодарность @avocado999, neoncityrain и XenomporhicDNA, Eli из академии RW и всем игрокам за помощь!<LINE>Вход находится в LF_D07, слева от эха.
The radiosphere|Радиосфера
The pits |Ямы
The plateau|Плато
The barrier|Барьер
Northern sealine|Северная прибрежная линия

///Underbelly (3321866775)///
Underbelly-name|Подбрюшье
Underbelly-description|Старый регион Подбрюшья стерт с лица земли и перенесен на версию 1.9 Наслаждайтесь!
Underbelly|Подбрюшье
The Shallows|Мелководье
Power Core|Силовое ядро
Pipeline|Трубопровод
Scavenger lair|Логово мусорщиков
Wreckage|Крушение

///Underpass (3373996610)///
underpass_will-name|Подземный переход
underpass_will-description|Разросшийся комплекс транспортных труб дальнего следования. Создан для того, чтобы другие региональные моды могли существовать в отдаленных уголках мира без необходимости встраивать соединения с регионами базовой игры. Точное местоположение подземного перехода и всего, с чем он связан, неизвестно...
Drainage Canal|Дренажный канал
Aspirational Level Design|Вдохновляющий дизайн уровней
Fridged Valley|Охлаждённая долина
Underpass|Подземный переход
Transit Control|Транзитный контроль
underass|недоучка
BLOOOOO0OOOOOOOOOOM|БЛOOOOO0OOOOOOOOOOM
Rusting Sanctuary|Ржавеющее святилище
Sanctuary's Peak|Вершина святилища

///Undersea (3014893557)///
wrayk.undersea-name|Подморье
wrayk.undersea-description|Затенённый океан между Побережьем, Затенённой цитаделью и Мачтой, с давно заброшенной локацией на морском дне.
Undersea|Подморье
The Dam|Плотина
The Lighthouse|Маяк
The Undercity |Подземный город
Hollowed Tunnels|Полые туннели

///Weakened Platform (3375820548)///
weakenedplatform-name|Ослаблённая платформа
weakenedplatform-description|Исследуйте металлическое плато с более чем 200+ экранами, расположенное между Массивами ферм и Небесными островами.
Weakened Platform|Ослаблённая платформа
The following region doesn't have any changes for Downpour slugcats any slugcat beside Monk and Survivor uses Hunter spawns|В этом регионе все слизнекоты, кроме Монаха и Выжившего, используют спавны Охотника

///КАМПАНИИ///

///Beecat (2939738770)///
beeworld-name|Пчелокот
beeworld-description|Пчелокот
///Меню
The Beecat|Пчелокот
BEECAT|ПЧЕЛОКОТ
Beecat|Пчелокот
A regular bee?|Обычная пчела?
Wings|Крылья
Tail|Хвост
Tail Stripes|Полосы
Antennae|Усики
Neck Fluff|Пушок
///Экспедиция
SecretScugDontTryThis|Секрет: Не Пытайся это сделать
Coming soon?|Скоро?
///Ремикс
Version |Версия 
by |от 
by: |от: 
///Клавиши
Stinger Keybinds|Клавиши
Keybind for Player 1|Клавиши для игрока 1
Keybind for Player 2|Клавиши для игрока 2
Keybind for Player 3|Клавиши для игрока 3
Keybind for Player 4|Клавиши для игрока 4
///Котята-пчёлы
Bups Modify|Котята-пчёлы
Enable Bups to spawn in all campaign|Включить спавн Котят-пчёл во всех кампаниях?
Bups Spawnrate (enable top one)|Скорость спавна Котят-пчёл (поставьте галочку сверху)
///Читы
Maximum Stamina|Максимальная выносливость
Stamina Recovery Speed|Скорость восстановления выносливости
Flight Speed|Скорость полёта
Unlimited Stinger Usage|Неограниченное использование жала
Unlock Vertical Flight|Разблокировать вертикальный полет
Bups Upward fly|Котята-пчёлы — полет вверх
Keep as vanilla|Оставить как в ваниле
///Цветочный квест
Speed Increased!|Скорость увеличена!
WingSpeed Increased!|Увеличена скорость крыльев!
Sting Damage Increased!|Увеличен урон от жала!
Vertical Fly Unlocked!|Вертикальный полёт разблокирован!
///Сообщение Луны
Oh dear.|О боже.
There is not much time to talk about situation, Creature.|У нас не так много времени, чтобы говорить о ситуации, существо.
i have talked about this situation to someone, but.|Я говорил об этой ситуации кое с кем, но.
Five pebbles decided to cut our communication off.|Пять Галек решил прервать наше общение.
i need you to help me.|Мне нужно, чтобы ты мне помог.
Take this pearl. It is important later on.|Возьми эту жемчужину. Это важно позже.
Here, but be warned, please. Dont let five pebbles read this.|Вот, но имей в виду, пожалуйста. Не позволяй Пяти Галькам читать её.
Please, be quick.. before this gets worse.|Пожалуйста, поторопись... пока не стало хуже.
///?
Let's see what you dropped.|Давай посмотрим, что ты уронил.
///Жемчужина
Oh no, not another one! First, that infuriating purple one with the pearl containing THAT information.|О нет, только не ещё одна! Во-первых, это приводящее в бешенство фиолетовое письмо с жемчужиной, содержащей ЭТУ информацию.
And now this… this abomination, undoubtedly sent by my sister who disrupted my experiments just the other cycle. I despise you!|И теперь это... эта мерзость, несомненно, посланная моей сестрой, которая сорвала мои эксперименты буквально в прошлом цикле. Я презираю тебя!
Moon ruined EVERYTHING.|Луна ВСЁ испортила.
I cannot allow THIS to continue.|Я не могу позволить ЭТОМУ продолжаться.
GET OUT OF MY SIGHT!|УБИРАЙСЯ С ГЛАЗ МОИХ!
///Секрет
I DONT WANT TO LET LTTM FIX CRYOBLOOM.|Я НЕ ХОЧУ ПОЗВОЛЯТЬ ЛУНЕ ИСПРАВЛЯТЬ ХЛАДОЦВЕТ.
Are you seriously waiting or you just left your pc on?|Вы серьезно ждёте или просто оставили свой компьютер включенным?
why though, you have other places you can be?|Но почему у вас есть другие места, где вы могли бы побывать?
Does people need this secret dialogue? especially dying on purpose JUST to get this secret.|Нужен ли людям этот тайный диалог? Особенно умирать специально, чтобы заполучить этот секрет.
But i appreciate your work.|Но я ценю вашу работу.
You are free to go now.|Теперь ты можешь идти.
///Сообщение Гальки
Hello.|Привет.
Your hiding something from me, I sense it, I feel it|Ты что-то скрываешь от меня, я чувствую это, я чувствую это.
This pearl... it radiates a singular energy. Surrender it to me, or face the consequences. There is no escape from this inevitability.|Эта жемчужина... она излучает особую энергию. Отдай её мне, или столкнёшься с последствиями. От этой неизбежности никуда не деться.
You have ten seconds to hand over that pearl, or I will take it from you myself.|У тебя есть десять секунд, чтобы отдать эту жемчужину, или я заберу её у тебя сам.
///?
ZERO.|НОЛЬ.
///?
It's all my fault.|Это всё моя вина.
Please, take this pearl to somewhere.|Пожалуйста, отнеси эту жемчужину куда-нибудь.
i dont want to see that again.|Я не хочу видеть это снова.
You are free to go now.|Теперь ты можешь идти.
///?
Ah, another peculiar creature.|Ах, ещё одно необычное существо.
Fascinating.|Завораживающе.
You appear to be part slugcat, part bee.|Похоже, ты наполовину слизнекот, наполовину пчела.
A 'Beecat', perhaps.|Возможно, «Пчелокот».
It seems you have the ability to fly around.|Кажется, у тебя есть способность летать.
You are free to go now.|Теперь ты можешь идти.
///КОНЕЦ СООБЩЕНИЙ

///Frostbite (3288406859)///
shrimb.frostbite-name|Замёрзшее место
shrimb.frostbite-description|Исследуй пробелы во времени и их секреты с помощью Отшельника, Жертвы и Палача... и, возможно, ещё одного, который предпочитает оставаться в тени.
///Ремикс
FROSTBITE OPTIONS|ЗАМЁРЗШЕЕ МЕСТО ОПЦИИ
If checked, The Sacrifice will emit holograms. Unchecking may improve performance.|Если флажок установлен, Жертва будет излучать голограммы. Снятие флажка может повысить производительность.
If checked, The Hermit will stun other players and slugpups.|Если флажок установлен, Отшельник будет оглушать других игроков и слизнекотят.
If checked, Saint will have Frostbite's winter deer.|Если флажок установлен, у Святого будет зимний олень из мода.
Adjusts rate of Rotted food in the world as a percentage. 20 = default spawns, NOT 20 percent.|Регулирует уровень гниения пищи в мире в процентах. 20 = появляется по умолчанию, А НЕ 20 процентов.
///Название регионов
Firmament Basilica|Базилика небесного свода
///Жертва
///Меню
THE SACRIFICE|ЖЕРТВА
The Sacrifice|Жертва
Sacrifice|Жертва
A frail creature, sent unprepared into a harsh and unforgiving world, to an unknown fate...|Хрупкое создание, отправленное неподготовленным в суровый и неумолимый мир, навстречу неизвестной судьбе...
///Обучение
Sacrifice Interactions:|Механики Жертвы:
(jump) + (grab) to boostjump|Нажми «Взять» + «Прыжок» вместе, чтобы ускорить прыжок.
Hold (grab) to chirp and stun small insects or attract attention|Удерживай «Взять», чтобы щебетать. Это оглушает мелких насекомых и привлекает внимание.
Hold (up) + (throw) at full food pips to switch modes|Удерживай «Вверх» + «Бросить» при полных единицах пищи, чтобы сменить режим.
You are a small and frail creature, not built for sustained life.|Ты — маленькое и хрупкое создание, не приспособленное к длительной жизни.
You must rely on wits to survive.|Ты должен полагаться на сообразительность, чтобы выжить.
Hold (GRAB) to chirp. This stuns small insects and attracts attention.|Удерживай «Взять», чтобы щебетать. Это оглушает мелких насекомых и привлекает внимание.
Press (GRAB)+(JUMP) together to boostjump.|Нажми «Вверх» + «Прыжок» вместе, чтобы ускорить прыжок.
You can starve to change modes.|Ты можешь голодать, чтобы сменить режим.
Holding (UP)+(THROW) together while at full food pips will also change modes.|Удерживай «Вверх» + «Бросить» при полных единицах пищи, чтобы сменить режим.
///Сообщение гальки
... M-My thoughts... flooding b-b-back... A... Neuron? Mine?|...М-мои мысли... наводняют н-н-назад... A... Нейрон? Мой?
... No... A creature of... s-some sort...|...Нет... Существо... какого-то рода...
... What are you...? That color... You're formatted to me...|...Что ты за...? Такого цвета... Ты отформатирован для меня...
And yet... Your data... These memories...|И всё же... Твои данные... Эти воспоминания...
A gift...?|Подарок...?
Suns... why such a method...? It can't be...|Солнца... почему такой метод...? Этого не может быть...
... Just so... I can live a little longer...?|...Просто так... Я могу прожить ещё немного...?
I don't know what will become of us. It may be pointless.|Я не знаю, что с нами будет. Возможно, это бессмысленно.
... I don't want to be alone... not again, lost and unthinking...|...Я не хочу быть один... только не снова, потерянный и бездумный...
