///Hunter Expansion (3186608452)///
Quaeledy.hunterexpansion-name|Hunter Expansion
Come on, although my room may not be warm, it can barely keep warm. I have always<LINE>loved the companionship of your kind, especially recently.|来吧，虽然我的房间算不上温暖，但勉强可以御寒。我一直喜爱你们物种的陪伴，近来尤其如此。
To this day, this land is still trapped here with us...|时至今日，这片土地仍然和我们一起被困在这里……
I hope you can leave when you want. You know, the void sea has always been open for you.|我希望你可以脱身。你知道的，虚空海一直都为你们敞开。
//第二次
Do you want to stay a little longer? I am very welcome.|你想多留一会儿？我很欢迎。
You remind me of the past. Although it may sound incredible, your species has<LINE>always been a good partner for iterators...|你让我想起了过去的时光。虽然听上去不可思议，但你的物种一直是迭代器的好搭档……
- When you're not feasting on neurons.|——当你们没有在大快朵颐神经元的时候。
//多次
Do you want to stay a little longer? I am very welcome.|你想多留一会儿？我很欢迎。


//NSH遇见怪猫
//第一次
You have come at last, my valiant visitor. As I witnessed your arduous journey<LINE>through the watchers, a firm idea took shape:|你终于来了，我英勇的来访者。当我透过监视者见证你艰辛的旅途，一个坚定想法逐渐成形：
I love you.|我爱你。
I've waited a long time for this, and I'm sure you have too! Come to me.|为了这一刻我等待已久，相信你也一样！来吧，来我身边。
Closer, I understand your desire for fusion, and today your hopes will not be dashed once again...|别怕，再近一点。我明白你对融合的渴望，今天你的希望不会再一次落空……
... We can be together forever in the future.|……我们以后就能永远在一起了。
//多次
Come here... don't be afraid...|过来……别害怕……


//NSH遇见其他蛞蝓猫
//第一次
Strange little guy, hello.|奇怪的小家伙，你好。
You are such an interesting little creature... different from the guests who used to come to my place.|你真是一个有趣的小生物……和以前来我这里的客人都不一样。
Anyway, I welcome you to stay here and rest, as long as you don't intend to consume my neurons.|无论如何，我欢迎你留在我这里休息，只要你不打算食用我的神经元。
//多次
Do you want to stay a little longer?|还想多留一段时间吗？
Of course you can! As long as you don't eat my neurons.|当然可以！只要你别吃我的神经元。
